PROSPECTID,time_since_recent_payment,time_since_first_deliquency,time_since_recent_deliquency,num_times_delinquent,max_delinquency_level,max_recent_level_of_deliq,num_deliq_6mts,num_deliq_12mts,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_30p_dpd,num_times_60p_dpd,num_std,num_std_6mts,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_6mts,num_dbt_12mts,num_lss,num_lss_6mts,num_lss_12mts,recent_level_of_deliq,tot_enq,CC_enq,CC_enq_L6m,CC_enq_L12m,PL_enq,PL_enq_L6m,PL_enq_L12m,time_since_recent_enq,enq_L12m,enq_L6m,enq_L3m,MARITALSTATUS,EDUCATION,AGE,GENDER,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,pct_opened_TLs_L6m_of_L12m,pct_currentBal_all_TL,CC_utilization,CC_Flag,PL_utilization,PL_Flag,pct_PL_enq_L6m_of_L12m,pct_CC_enq_L6m_of_L12m,pct_PL_enq_L6m_of_ever,pct_CC_enq_L6m_of_ever,max_unsec_exposure_inPct,HL_Flag,GL_Flag,last_prod_enq2,first_prod_enq2,Credit_Score,Approved_Flag
12,2543,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,Married,SSC,57,F,30000,141,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,682,P2
13,1037,24,24,1,31,31,0,0,0,-99999,-99999,1,0,33,4,10,0,0,0,0,0,0,0,0,0,31,7,0,0,0,0,0,0,3,2,1,1,Married,SSC,30,M,55000,126,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,0,0,ConsumerLoan,others,669,P2
14,46,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,164,1,1,0,Married,SSC,39,M,25000,125,0.5,1,0.345,-99999,0,-99999,0,0,0,0,0,0.288,0,0,ConsumerLoan,ConsumerLoan,687,P2
15,395,-99999,-99999,0,-99999,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1135,0,0,0,Married,12TH,27,M,30000,154,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,692,P2
16,42,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,1,1,1,1,46,13,11,5,Married,12TH,44,M,25000,245,0.875,0.875,0.815,0.161,1,-99999,0,1,1,1,1,2.416,0,0,ConsumerLoan,others,643,P4
17,42,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,234,1,0,0,Married,SSC,30,M,30000,121,1,0,1.223,-99999,0,-99999,0,0,0,0,0,2.533,0,0,others,others,678,P2
18,71,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,Married,12TH,33,M,32000,154,1,1,0.4,-99999,0,-99999,0,0,0,0,0,0.375,0,0,others,others,682,P2
19,2984,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,Married,12TH,31,M,28000,122,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,691,P2
20,80,30,11,8,89,89,0,1,1,-99999,22,2,1,38,6,12,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,1679,0,0,0,Married,UNDER GRADUATE,31,M,48000,126,0.286,1,0.539,-99999,0,-99999,0,0,0,0,0,6.25,1,0,others,others,720,P1
21,45,7,7,1,14,14,0,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,35,2,1,1,Married,SSC,25,M,65000,129,1,0,0.5,-99999,0,-99999,0,0,0,0,0,0.304,0,0,others,ConsumerLoan,669,P2
22,51,8,8,1,15,15,0,1,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,0,0,0,4,0,2,200,3,0,0,Married,UNDER GRADUATE,35,F,64000,35,0.6,0,1.033,-99999,0,0.901,1,0,0,0,0,3.109,0,0,PL,others,699,P2
23,97,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,1,1,Single,GRADUATE,24,M,15000,60,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,0,0,ConsumerLoan,others,678,P2
24,-99999,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,Single,OTHERS,21,M,16000,36,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,689,P2
25,77,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,60,8,22,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,293,1,0,0,Single,12TH,22,M,30000,121,0.667,0,0.895,-99999,0,-99999,0,0,0,0,0,5.429,0,0,others,others,702,P3
26,65,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,Single,12TH,21,M,35000,275,1,0,0.943,-99999,0,-99999,0,0,0,0,0,-99999,0,1,others,others,677,P2
27,1341,35,10,10,190,190,0,2,2,-99999,190,9,8,0,0,0,0,0,0,0,0,0,0,0,0,190,3,2,1,1,0,0,0,58,1,1,1,Single,12TH,28,M,20000,39,0,0,0,-99999,1,-99999,0,0,1,0,0.5,-99999,0,0,CC,others,660,P3
28,76,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,16,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,156,1,1,0,Married,12TH,30,F,10000,23,0.455,0.333,0.902,-99999,0,-99999,0,1,0,1,0,-99999,1,0,PL,others,685,P2
29,88,34,34,1,183,183,0,0,0,-99999,0,1,1,107,17,43,0,0,0,0,0,0,0,0,0,183,1,0,0,0,0,0,0,366,0,0,0,Married,SSC,37,F,25000,101,0.19,0.4,0.979,-99999,0,-99999,0,0,0,0,0,-99999,1,1,HL,HL,740,P1
30,77,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,71,3,1,1,Single,GRADUATE,33,M,50000,80,1,0.667,0.442,-99999,0,-99999,0,0,0,0,0,0.534,0,0,others,CC,678,P2
31,68,32,6,4,56,25,0,2,2,0,56,1,0,31,5,11,0,0,0,0,0,0,0,0,0,25,14,1,1,1,3,2,3,60,12,9,2,Single,POST-GRADUATE,22,M,50000,64,0.8,0.6,0.835,1,1,-99999,0,0.667,1,0.667,1,7.445,0,1,others,others,671,P2
32,34,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,9,4,6,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,12,11,10,Married,SSC,52,M,21000,182,0.75,0.667,0.764,-99999,0,-99999,0,0,0,0,0,1.657,0,0,ConsumerLoan,others,638,P4
33,75,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,149,4,1,0,Married,12TH,41,M,18000,217,0.6,0.5,0.635,-99999,0,-99999,0,0,0,0,0,1.86,0,0,HL,ConsumerLoan,689,P2
34,76,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,16,4,3,2,Single,GRADUATE,25,M,15000,63,1,1,0.6,-99999,0,-99999,0,0,0,0,0,1.2,0,0,ConsumerLoan,others,663,P3
35,99,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,6,5,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,207,1,0,0,Married,SSC,25,M,12000,40,1,0,0.762,-99999,0,-99999,0,0,0,0,0,8.75,0,0,others,others,692,P2
36,48,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,581,0,0,0,Married,GRADUATE,26,M,30000,62,1,0,0.526,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,693,P2
37,33,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,3,3,6,5,6,3,13,9,3,Married,GRADUATE,30,F,25000,62,0.857,0.6,0.81,0.854,1,0.966,1,0.833,1,0.833,1,12.6,0,0,PL,others,678,P2
38,341,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,26,5,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,53,1,1,1,Married,OTHERS,38,M,55000,231,0.273,0,1,-99999,0,-99999,0,0,0,0,0,-99999,1,0,ConsumerLoan,ConsumerLoan,705,P1
39,277,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,5,5,5,Married,12TH,57,M,40000,130,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,0,0,ConsumerLoan,others,657,P4
40,92,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,821,0,0,0,Married,SSC,48,M,25000,300,0,0,0,-99999,0,-99999,1,0,0,0,0,-99999,0,0,others,others,693,P2
41,-99999,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,Single,12TH,25,M,25000,54,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,672,P2
42,105,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,2,79,3,2,1,Married,GRADUATE,31,M,15000,125,1,0,0,-99999,0,-99999,0,1,0,1,0,0.933,0,0,PL,others,663,P3
43,83,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,Married,GRADUATE,25,F,18500,80,1,1,0.704,-99999,0,-99999,0,0,0,0,0,-99999,0,1,others,others,673,P2
44,875,35,31,4,60,60,0,0,0,-99999,-99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,0,0,0,0,0,0,1481,0,0,0,Married,12TH,52,M,13000,244,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,662,P3
45,53,29,15,4,59,4,0,0,0,0,0,2,0,25,4,10,0,0,0,0,0,0,0,0,0,4,6,0,0,0,1,0,0,1,3,3,2,Married,POST-GRADUATE,31,M,45000,181,0.4,0,0.583,-99999,0,-99999,0,0,0,0,0,2.978,0,0,ConsumerLoan,ConsumerLoan,659,P3
46,80,21,21,1,9,9,0,0,0,0,0,0,0,6,5,6,0,0,0,0,0,0,0,0,0,9,23,1,1,1,13,8,13,49,18,9,5,Married,GRADUATE,25,M,20000,70,0.417,0.7,0.904,1,1,0.904,1,0.615,1,0.615,1,7.729,0,0,CC,others,651,P4
47,101,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,232,2,0,0,Married,12TH,51,M,12000,191,1,0,0.3,-99999,0,-99999,0,0,0,0,0,0.791,0,0,PL,others,679,P2
48,40,15,14,2,35,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,64,6,5,4,Married,UNDER GRADUATE,25,F,18000,105,0.5,0,0.677,-99999,0,-99999,0,0,0,0,0,0.562,0,0,ConsumerLoan,ConsumerLoan,655,P4
49,83,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,8,1,1,1,5,5,5,1,8,8,3,Married,UNDER GRADUATE,24,M,18000,25,0.571,1,1.491,-99999,0,-99999,1,1,1,1,1,0.001,0,0,ConsumerLoan,PL,664,P3
50,56,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,422,0,0,0,Single,UNDER GRADUATE,26,M,17000,50,1,0,0.55,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,691,P2
51,64,35,31,5,599,478,0,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,478,5,0,0,0,1,1,1,9,3,3,2,Married,12TH,33,M,25000,182,1,1,0.149,-99999,0,-99999,0,1,0,1,0,0.494,0,0,ConsumerLoan,others,671,P2
52,1084,28,24,5,150,90,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,90,3,0,0,0,0,0,0,83,3,3,2,Married,GRADUATE,34,M,30000,190,0.5,1,1,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,660,P3
53,518,33,28,4,56,23,0,0,0,-99999,-99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,1344,0,0,0,Single,SSC,27,M,16000,13,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,660,P3
54,81,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,4,4,17,6,6,2,Single,GRADUATE,23,M,15000,30,0.333,1,0.8,-99999,0,-99999,1,1,0,1,0,1.5,0,0,ConsumerLoan,others,655,P4
55,62,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,3,3,19,8,8,4,Single,UNDER GRADUATE,34,M,35000,110,0.8,1,0.624,-99999,0,0.654,1,1,0,0.75,0,3.014,0,0,PL,ConsumerLoan,654,P4
56,46,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,15,8,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,263,1,0,0,Married,12TH,53,M,20000,122,1,0,0.888,-99999,0,0.888,1,0,0,0,0,5,0,0,PL,PL,690,P2
57,1766,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,Married,UNDER GRADUATE,28,M,15000,38,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,679,P2
58,84,32,32,1,16,16,0,0,0,0,0,0,0,19,0,6,0,0,0,0,0,0,0,0,0,16,4,0,0,0,1,0,1,184,3,0,0,Single,UNDER GRADUATE,28,F,10000,37,0.222,0.25,0.268,-99999,0,-99999,0,0,0,0,0,5.25,0,0,PL,ConsumerLoan,673,P2
59,113,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,38,10,22,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,1,241,1,0,0,Married,GRADUATE,43,M,28000,150,1,0,0.721,-99999,0,0.709,1,0,0,0,0,19.161,0,0,PL,PL,694,P2
60,74,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,7,4,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,51,4,1,1,Single,12TH,26,M,20000,56,1,0,0.551,-99999,0,-99999,0,0,0,0,0,1.3,0,0,ConsumerLoan,others,675,P2
61,614,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1,1,1,Single,12TH,30,M,51000,145,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,0,0,ConsumerLoan,others,670,P2
62,54,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,267,1,0,0,Married,12TH,32,F,20000,98,0.333,0,0.504,-99999,0,0.623,1,0,0,0,0,5.717,0,0,others,others,684,P2
63,56,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,272,1,0,0,Single,12TH,35,M,15000,41,0.5,0,0.391,-99999,0,-99999,0,0,0,0,0,1.066,0,0,ConsumerLoan,others,687,P2
64,55,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,467,0,0,0,Married,SSC,38,F,7000,102,0.5,0,0.016,-99999,0,-99999,0,0,0,0,0,-99999,0,0,ConsumerLoan,others,684,P2
65,287,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,9,5,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,315,1,0,0,Married,POST-GRADUATE,30,M,25000,66,0.5,0,0.912,-99999,0,0.912,1,0,0,0,0,18,0,0,PL,others,697,P2
66,161,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,2,2,2,Married,SSC,28,M,25000,27,1,0,1.338,-99999,0,-99999,0,0,0,0,0,-99999,0,0,ConsumerLoan,others,672,P2
67,89,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,2,1,1,Married,GRADUATE,34,F,30000,65,1,0,0.592,-99999,0,-99999,0,0,0,0,0,0.406,0,0,ConsumerLoan,others,673,P2
68,112,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,811,0,0,0,Married,GRADUATE,47,M,20000,122,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,688,P2
69,67,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,35,1,1,1,Married,GRADUATE,29,M,20000,13,0.5,0,0.758,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,695,P2
70,59,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,181,2,2,0,Single,SSC,32,M,20000,44,1,1,0.333,-99999,0,-99999,0,0,0,0,0,0.438,0,0,ConsumerLoan,ConsumerLoan,686,P2
71,100,31,31,2,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,15,2,1,1,6,4,6,12,12,9,7,Married,GRADUATE,31,M,40900,129,0.154,1,0.037,-99999,0,-99999,0,0.667,1,0.667,0.5,0.538,1,0,ConsumerLoan,ConsumerLoan,618,P4
72,56,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,21,4,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,411,0,0,0,Married,12TH,41,M,65000,181,1,0.5,0.92,-99999,0,0.961,1,0,0,0,0,2.462,0,0,PL,HL,707,P1
73,22,5,5,1,2,2,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,1,6,6,1,Married,SSC,45,F,20000,263,1,0.5,0.95,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,ConsumerLoan,678,P2
74,1610,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,Married,SSC,38,M,10000,310,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,1,0,others,others,697,P2
75,35,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,4,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,322,1,0,0,Married,GRADUATE,26,M,20000,101,1,0,0.298,-99999,0,-99999,0,0,0,0,0,1.779,0,0,others,others,710,P1
76,56,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,84,3,2,1,Single,GRADUATE,27,M,15500,64,0.8,0.375,0.372,-99999,0,-99999,0,0,1,0,1,5.861,0,0,ConsumerLoan,ConsumerLoan,684,P2
77,102,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,243,1,0,0,Married,SSC,27,M,50000,54,0.5,0,0.336,-99999,0,-99999,0,0,0,0,0,1.008,0,0,ConsumerLoan,others,699,P2
78,137,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,410,0,0,0,Married,SSC,55,M,13000,42,1,0,0,-99999,0,-99999,0,0,0,0,0,2.081,0,0,others,others,684,P2
79,73,8,7,2,10,8,0,2,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1,0,0,2,2,2,169,2,2,0,Married,GRADUATE,26,M,20000,113,0.667,1,0.631,0.778,1,-99999,0,1,0,1,0,3.304,0,0,PL,others,672,P2
80,71,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,5,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,614,0,0,0,Married,SSC,29,F,15000,47,1,0,0.559,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,698,P2
81,57,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,247,1,0,0,Married,SSC,43,M,19000,123,1,0,0.797,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,679,P2
82,75,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,208,1,0,0,Married,SSC,32,M,9000,33,1,0,0.691,-99999,0,-99999,0,0,0,0,0,-99999,0,0,others,others,685,P2
83,233,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,418,0,0,0,Single,12TH,34,M,14500,68,1,0,0,-99999,0,-99999,0,0,0,0,0,1.02,0,0,others,others,691,P2
84,50,24,24,1,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,6,1,1,1,Married,12TH,35,M,33000,306,0,0,0,-99999,0,-99999,0,0,0,0,0,-99999,0,0,ConsumerLoan,others,647,P4
